origin_location_code,origin_has_hrp,origin_in_gho,asylum_location_code,asylum_has_hrp,asylum_in_gho,population_group,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
AFG,True,True,KEN,False,True,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,ASY,f,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,ASY,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,ASY,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,ASY,f,all,None,None,0,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,ASY,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,ASY,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,ASY,m,18-59,18,59,8,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,ASY,m,all,None,None,8,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,ASY,all,all,None,None,8,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,REF,f,12-17,12,17,5,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,REF,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,REF,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,REF,f,all,None,None,5,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,REF,m,12-17,12,17,6,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,REF,m,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,REF,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,REF,m,all,None,None,6,2020-01-01,2020-12-31
AFG,True,True,KEN,False,True,REF,all,all,None,None,11,2020-01-01,2020-12-31
BDI,False,False,KEN,False,True,ASY,f,0-4,0,4,796,2020-01-01,2020-12-31
BDI,False,False,KEN,False,True,ASY,f,5-11,5,11,754,2020-01-01,2020-12-31
BDI,False,False,KEN,False,True,ASY,f,12-17,12,17,455,2020-01-01,2020-12-31
BDI,False,False,KEN,False,True,ASY,f,18-59,18,59,1744,2020-01-01,2020-12-31
BDI,False,False,KEN,False,True,ASY,f,60+,60,None,49,2020-01-01,2020-12-31
BDI,False,False,KEN,False,True,ASY,f,all,None,None,3798,2020-01-01,2020-12-31
BDI,False,False,KEN,False,True,ASY,m,0-4,0,4,795,2020-01-01,2020-12-31
BDI,False,False,KEN,False,True,ASY,m,5-11,5,11,735,2020-01-01,2020-12-31
BDI,False,False,KEN,False,True,ASY,m,12-17,12,17,461,2020-01-01,2020-12-31
BDI,False,False,KEN,False,True,ASY,m,18-59,18,59,3928,2020-01-01,2020-12-31
BDI,False,False,KEN,False,True,ASY,m,60+,60,None,44,2020-01-01,2020-12-31
BDI,False,False,KEN,False,True,ASY,m,all,None,None,5963,2020-01-01,2020-12-31
BDI,False,False,KEN,False,True,ASY,all,all,None,None,9761,2020-01-01,2020-12-31
BDI,False,False,KEN,False,True,REF,f,0-4,0,4,503,2020-01-01,2020-12-31
BDI,False,False,KEN,False,True,REF,f,5-11,5,11,688,2020-01-01,2020-12-31
BDI,False,False,KEN,False,True,REF,f,12-17,12,17,418,2020-01-01,2020-12-31
BDI,False,False,KEN,False,True,REF,f,18-59,18,59,1458,2020-01-01,2020-12-31
BDI,False,False,KEN,False,True,REF,f,60+,60,None,38,2020-01-01,2020-12-31
BDI,False,False,KEN,False,True,REF,f,all,None,None,3105,2020-01-01,2020-12-31
BDI,False,False,KEN,False,True,REF,m,0-4,0,4,506,2020-01-01,2020-12-31
